date,user_id,age,mood,anxiety,energy,burnout,journal_entry,sleep,refreshed_after_sleep,steps_taken,water_intake,caffeine_intake,work_hours,outfit_type,music_genre,music_volume,music_time,on_period_today,cycle_phase,symptoms_experienced,major_event_log
2025-03-16,user_000,57,9,4,6,Mild tiredness,,2.9,Yes,8000+,1.5–2.5L,2 cups,8+ hrs,Athletic/Activewear,None,Medium,Night,No,No clue,None,
2025-03-17,user_000,57,4,5,9,Full-on burnout,,4.2,Yes,8000+,2.5L+,1 cup,5–8 hrs,"Comfy (PJs, oversized)",None,Medium,Afternoon,No,No clue,None,
2025-03-18,user_000,57,8,7,9,Drained,,2.2,Yes,8000+,2.5L+,2 cups,<2 hrs,"Casual (jeans, tee)","Other, Sad Pop",Medium,Afternoon,No,No clue,None,
2025-03-19,user_000,57,6,3,8,Not at all,,1.6,No,5000–8000,<1L,1 cup,2–5 hrs,"Casual (jeans, tee)",None,Low (background),Morning,No,No clue,None,
2025-03-20,user_000,57,10,2,5,Mild tiredness,,1.1,No,5000–8000,1–1.5L,2 cups,8+ hrs,"Casual (jeans, tee)",None,Low (background),Night,No,No clue,None,
2025-03-21,user_000,57,3,3,4,Not at all,Relaxed evening.,8.0,Yes,8000+,2.5L+,None,8+ hrs,"Comfy (PJs, oversized)",Lofi,Loud,Morning,No,No clue,None,
2025-03-22,user_000,57,3,6,4,Mild tiredness,,5.0,Yes,8000+,1–1.5L,None,5–8 hrs,"Casual (jeans, tee)","Dance music, Sad Pop",Low (background),Night,No,No clue,None,
2025-03-23,user_000,57,2,6,8,Mild tiredness,Feeling well today.,1.0,No,8000+,1–1.5L,1 cup,<2 hrs,Athletic/Activewear,"Bollywood, Dance music",Loud,Morning,No,No clue,None,None
2025-03-24,user_000,57,5,1,4,Not at all,,3.5,No,<2000,2.5L+,1 cup,5–8 hrs,"Comfy (PJs, oversized)",Dance music,Loud,Night,No,No clue,None,
2025-03-25,user_000,57,8,2,9,Mild tiredness,A bit tired.,8.9,Yes,5000–8000,1.5–2.5L,3+ cups,5–8 hrs,Formal (workwear),Happy Vibey pop,Low (background),Night,No,No clue,None,
2025-03-26,user_000,57,1,2,8,Full-on burnout,,10.7,No,8000+,1.5–2.5L,1 cup,<2 hrs,Formal (workwear),Happy Vibey pop,Medium,Morning,No,No clue,None,
2025-03-27,user_000,57,4,6,7,Drained,,0.7,Yes,2000–5000,<1L,1 cup,<2 hrs,Athletic/Activewear,None,Low (background),Morning,No,No clue,None,
2025-03-28,user_000,57,9,9,4,Drained,,10.3,Kind of,2000–5000,1–1.5L,2 cups,5–8 hrs,Athletic/Activewear,"Carnatic, Western classical",Low (background),Morning,No,No clue,None,
2025-03-29,user_000,57,7,1,4,Mild tiredness,,4.7,No,5000–8000,<1L,1 cup,<2 hrs,"Casual (jeans, tee)",Carnatic,Low (background),Morning,No,No clue,None,
2025-03-30,user_000,57,4,10,4,Mild tiredness,,4.4,Kind of,2000–5000,<1L,3+ cups,5–8 hrs,Formal (workwear),Rock,Low (background),Night,No,No clue,None,
2025-03-31,user_000,57,1,3,8,Mild tiredness,,3.1,No,5000–8000,1.5–2.5L,1 cup,5–8 hrs,"Comfy (PJs, oversized)",None,Loud,Night,No,No clue,None,
2025-04-01,user_000,57,5,2,4,Full-on burnout,Relaxed evening.,8.9,No,<2000,1.5–2.5L,None,5–8 hrs,"Comfy (PJs, oversized)",None,Medium,Afternoon,No,No clue,None,
2025-04-02,user_000,57,7,9,4,Full-on burnout,,2.8,Yes,2000–5000,1–1.5L,1 cup,8+ hrs,"Casual (jeans, tee)","Bollywood, Western classical",Medium,Night,No,No clue,None,Attended a social event
2025-04-03,user_000,57,1,7,1,Full-on burnout,,2.8,Yes,<2000,1–1.5L,1 cup,8+ hrs,Formal (workwear),"Western classical, Lofi",Loud,Afternoon,No,No clue,None,
2025-04-04,user_000,57,4,6,7,Mild tiredness,,7.9,Yes,8000+,<1L,2 cups,<2 hrs,"Comfy (PJs, oversized)",EDM,Loud,Night,No,No clue,None,
2025-04-05,user_000,57,4,6,1,Mild tiredness,,9.8,Kind of,2000–5000,1–1.5L,1 cup,5–8 hrs,"Comfy (PJs, oversized)",Other,Loud,Afternoon,No,No clue,None,
2025-04-06,user_000,57,10,9,1,Not at all,,9.2,Yes,2000–5000,<1L,None,8+ hrs,"Comfy (PJs, oversized)",None,Loud,Night,No,No clue,None,
2025-04-07,user_000,57,8,10,1,Mild tiredness,,4.8,No,8000+,<1L,2 cups,5–8 hrs,"Comfy (PJs, oversized)",Western classical,Loud,Afternoon,No,No clue,None,
2025-04-08,user_000,57,9,6,5,Not at all,,8.2,Kind of,2000–5000,1.5–2.5L,None,8+ hrs,Athletic/Activewear,None,Loud,Night,No,No clue,None,
2025-04-09,user_000,57,8,9,7,Drained,,6.9,No,5000–8000,1–1.5L,3+ cups,5–8 hrs,Athletic/Activewear,Bollywood,Low (background),Night,No,No clue,None,
2025-04-10,user_000,57,9,4,3,Drained,,7.5,Yes,8000+,<1L,3+ cups,2–5 hrs,Formal (workwear),None,Medium,Night,No,No clue,None,
2025-04-11,user_000,57,3,2,7,Drained,,2.2,No,5000–8000,1–1.5L,1 cup,8+ hrs,Formal (workwear),"Carnatic, Dance music",Low (background),Morning,No,No clue,None,Felt sick
2025-04-12,user_000,57,10,6,2,Drained,,10.8,Yes,8000+,2.5L+,None,<2 hrs,"Casual (jeans, tee)",None,Loud,Afternoon,No,No clue,None,
2025-04-13,user_000,57,8,3,8,Full-on burnout,Relaxed evening.,3.7,No,5000–8000,1–1.5L,2 cups,5–8 hrs,Athletic/Activewear,"Sad Pop, Rock",Loud,Night,No,No clue,None,
2025-04-14,user_000,57,7,3,6,Drained,,6.6,Kind of,8000+,1–1.5L,1 cup,5–8 hrs,"Comfy (PJs, oversized)",Lofi,Medium,Afternoon,No,No clue,None,
2025-04-15,user_000,57,10,2,7,Drained,,9.2,Yes,2000–5000,<1L,2 cups,<2 hrs,Formal (workwear),Carnatic,Medium,Afternoon,No,No clue,None,
2025-04-16,user_000,57,10,3,2,Not at all,,6.0,Yes,8000+,1.5–2.5L,3+ cups,<2 hrs,"Casual (jeans, tee)",None,Loud,Night,No,No clue,None,
2025-04-17,user_000,57,3,10,1,Full-on burnout,,1.1,Kind of,2000–5000,2.5L+,2 cups,2–5 hrs,Formal (workwear),None,Low (background),Afternoon,No,No clue,None,
2025-04-18,user_000,57,8,3,10,Full-on burnout,,7.3,Kind of,5000–8000,2.5L+,1 cup,8+ hrs,Athletic/Activewear,None,Loud,Morning,No,No clue,None,
2025-04-19,user_000,57,6,3,6,Full-on burnout,Relaxed evening.,5.7,Yes,5000–8000,2.5L+,1 cup,8+ hrs,Athletic/Activewear,None,Low (background),Afternoon,No,No clue,None,
2025-04-20,user_000,57,1,1,7,Mild tiredness,,7.3,No,2000–5000,1–1.5L,3+ cups,2–5 hrs,"Comfy (PJs, oversized)",None,Medium,Night,No,No clue,None,
2025-04-21,user_000,57,4,1,5,Drained,,7.4,Yes,2000–5000,1.5–2.5L,None,<2 hrs,Formal (workwear),None,Medium,Night,No,No clue,None,
